Trainer,練馬師,1ST,1DH,2ND,2DH,3RD,3DH,4TH,4DH,5TH,5DH,STARTS,STAKES,Win%
Size J.,蔡約翰,95,1,75,--,50,3,64,1,43,--,541,120752162.50,17.60%
Moore J.,約翰摩亞,67,2,50,2,55,--,50,1,35,--,537,155263295.00,12.50%
Fownes C.,方嘉柏,61,1,35,1,44,--,44,--,53,1,569,56397330.00,10.70%
So W.Y.,蘇偉賢,56,--,35,--,37,--,44,1,31,--,495,48362110.00,11.30%
Cruz A.S.,告東尼,50,--,74,--,46,--,53,1,62,1,594,118534492.50,8.40%
Shum C.S.,沈集成,48,--,36,--,55,--,41,--,43,1,542,60154052.50,8.90%
Yiu P.F.,姚本輝,45,--,44,--,34,1,40,1,34,--,453,52324675.00,9.90%
Tsui Y.S.,徐雨石,39,--,36,--,61,2,42,1,37,1,574,43533142.50,6.80%
Yip C.H.,葉楚航,39,--,30,--,40,1,36,1,48,--,569,42365115.00,6.90%
Hall D.J.,賀賢,37,--,35,--,32,--,25,--,25,--,374,39046200.00,9.90%
Millard A.T.,苗禮德,36,--,32,--,32,--,41,2,42,--,445,37826575.00,8.10%
Ferraris D.E.,霍利時,33,--,39,--,47,--,42,--,45,--,459,34938110.00,7.20%
Ho L.,何良,30,--,33,3,21,--,23,--,26,--,403,28253685.00,7.40%
Yung T.P.,容天鵬,28,--,42,--,28,--,31,--,50,--,454,34341950.00,6.20%
O'Sullivan P.,蘇保羅,27,--,39,--,57,--,47,--,27,--,443,46696725.00,6.10%
Lui K.W.,呂健威,23,--,35,--,26,--,25,--,20,--,359,41416950.00,6.40%
Man K.L.,文家良,20,--,28,--,32,--,40,--,35,--,466,24139085.00,4.30%
Gibson R.,高伯新,20,--,21,--,28,--,27,--,30,--,316,22199620.00,6.30%
Lee A.,李易達,19,--,30,--,26,--,24,1,43,--,437,19385125.00,4.30%
Chang C.W.,鄭俊偉,16,--,25,--,22,--,31,1,31,--,385,17584700.00,4.20%
Cruz D.,告達理,8,--,19,--,25,--,16,--,21,--,301,12215925.00,2.70%
Ng T.K.,吳定強,8,--,13,--,7,1,20,1,15,--,248,8122475.00,3.20%
Hori N.,堀宣行,3,--,0,--,0,--,0,--,0,--,4,35055000.00,75.00%
O'Brien A.P.,岳伯仁,0,--,1,--,0,--,0,--,0,--,2,3630000.00,0.00%
Fujiwara H.,藤原英昭,0,--,0,--,1,--,0,--,0,--,1,2500000.00,0.00%
de Royer Dupre,羅迪普,0,--,0,--,1,--,0,--,0,--,1,1650000.00,0.00%
Ikee Y.,池江泰壽,0,--,0,--,0,--,1,--,0,--,2,1425000.00,0.00%
Saito M.,齋藤誠,0,--,0,--,0,--,1,--,0,--,1,940500.00,0.00%
Lau J.,劉志森,0,--,0,--,0,--,0,--,1,--,2,105000.00,0.00%
Tanaka T.,田中剛,0,--,0,--,0,--,0,--,1,--,1,759000.00,0.00%
Hickmott R.,何萬達,0,--,0,--,0,--,0,--,1,--,1,660000.00,0.00%
Rohaut F.,盧漢德,0,--,0,--,0,--,0,--,1,--,1,610500.00,0.00%
Okubo R.,大久保龍志,0,--,0,--,0,--,0,--,1,--,1,544500.00,0.00%
Walker Ed,韋嘉,0,--,0,--,0,--,0,--,1,--,1,528000.00,0.00%
Moore G.W.,摩加利,0,--,0,--,0,--,0,--,0,--,1,370000.00,0.00%
Bull A.,布艾頓,0,--,0,--,0,--,0,--,0,--,1,330000.00,0.00%
Stoute Sir M.R,司徒德爵士,0,--,0,--,0,--,0,--,0,--,1,320000.00,0.00%
Barande-Barbe,鮑歌蓮,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Bary P.,巴利,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Bell M.L.W.,包貝義,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Bietolini G.,巴托里寧,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Cheong S.H.,張兆煊,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Chong K.C.,庄建設,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Fabre A.,費伯華,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Fahey R.,范鴻禧,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Fujioka K.,藤岡健一,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Fung Y.C.,馮耀正,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Moore J.M.,霑士摩亞,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Ozeki T.,尾關知人,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Portelli G.,鮑泰利,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Sakaguchi M.,坂口正則,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Shaw P.B.,紹爾,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Tam M.C.,譚文就,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Tse W.H.,謝偉豪,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%
Yoshimura K.,吉村圭司,0,--,0,--,0,--,0,--,0,--,1,0.00,0.00%